Model,Precision,Recall,ROC-AUC
Logistic Regression,0.6264061574896388,0.5408495213309787,0.7217560792499312
Random Forest,0.5921938088829072,0.5520959196951389,0.6929625411994872
XGBoost,0.6276079322454038,0.564782972395204,0.7306553022282074
CatBoost,0.6294855387765549,0.5714750441490845,0.7333457773805839
LightGBM,0.6296714579055441,0.5700343898131797,0.7339172408996002
